square,price
11.7,3300000
15.29,2850000
16,3700000
17,3700000
18.4,4500000
18.85,4790000
19.4,5999000
20,4950000
20.1,4900000
20.9,3750000
21.14,5790000
21.3,6700000
21.47,5690000
21.64,5900000
21.8,7100000
21.9,7149000
22.08,6700000
22.3,6000000
22.48,4950000
22.6,5500000
22.7,7900000
22.74,5500000
22.8,5150000
23,6250000
23.03,5319000
23.1,5343000
23.26,4840000
23.5,4978000
23.6,6700000
23.7,5300000
23.79,4946000
24,6300000
24.1,7190000
24.15,7691000
24.2,6449000
24.26,5050000
24.3,6500000
24.35,6250000
24.5,6199000
24.56,4390000
24.58,4850000
24.6,4950000
24.7,5900000
24.8,7000000
24.85,7381000
24.9,5425000
25,5500000
25.1,5106000
25.3,6449000
25.46,5105000
25.47,7600000
25.57,5600000
25.6,4570000
25.63,7550000
25.7,7400000
25.8,6400000
25.86,7450000
26,6290000
26.1,7950000
26.2,4250000
26.4,6150000
26.5,6200000
26.7,6000000
26.8,7500000
26.93,5500000
27,6570000
27.13,11123000
27.16,6820000
27.17,6374000
27.2,11970000
27.3,6700000
27.62,6362000
27.7,14000000
27.8,9200000
28,6700000
28.08,5212000
28.4,6850000
28.5,6600000
28.8,6000000
29,5499000
29.05,5159000
29.1,7000000
29.2,9300000
29.37,6600000
29.4,6299000
29.7,6250000
29.72,8827000
29.82,4900000
30,5650000
30.1,7100000
30.2,5880000
30.4,8690000
30.5,5900000
30.54,6400000
30.6,6900000
30.7,6150000
30.8,5400000
30.9,6049000
31,8500000
31.1,6250000
31.2,6300000
31.33,5914000
31.4,8500000
31.5,7000000
31.6,6710000
31.7,7200000
31.9,5850000
32,7300000
32.1,6050000
32.6,6650000
32.8,7750000
32.9,5950000
32.97,5990000
33.2,12600000
33.3,12400000
33.4,9100000
33.46,6475000
33.48,7592000
33.5,8049000
33.6,7100000
33.7,6800000
33.9,9150000
34,9750000
34.08,7498000
34.1,9100000
34.2,5700000
34.4,7350000
34.5,9000000
34.6,6890000
34.72,8034000
34.79,10000000
34.8,7300000
35,8150000
35.1,9560000
35.2,6290000
35.3,9605000
35.31,6950000
35.39,6849000
35.4,7150000
35.49,9307000
35.5,5900000
35.6,8910000
35.7,8700000
35.8,6750000
36,6300000
36.2,6900000
36.3,6700000
36.35,8000000
36.4,6800000
36.5,8500000
36.56,7600000
36.6,9700000
36.7,7620000
36.77,7661000
36.8,6800000
36.98,9288000
37,7299000
37.06,7772000
37.3,11490000
37.33,8220000
37.5,7800000
37.59,7903000
37.6,8900000
37.64,9116000
37.7,7400000
37.81,7894000
38,10500000
38.13,9850000
38.2,7800000
38.3,9400000
38.4,8649000
38.42,7625000
38.46,8507000
38.5,8500000
38.6,7300000
38.8,8100000
39,9700000
39.06,7902000
39.1,8600000
39.3,8780000
39.4,7724000
39.7,9100000
39.71,8169000
39.8,8420000
39.82,10200000
39.88,7800000
39.9,6990000
40.4,10950000
40.5,9500000
40.7,11000000
40.8,10150000
40.9,10300000
41,13500000
41.2,8120000
41.3,17200000
41.4,11499000
41.5,16300000
41.7,6999000
41.9,7099000
42,10500000
42.14,9456000
42.4,6500000
42.5,8599000
42.6,7370000
42.7,10500000
42.8,6500000
43,7700000
43.1,7700000
43.2,13800000
43.3,12200000
43.4,15000000
43.5,12500000
43.8,6999000
44,10500000
44.1,7500000
44.2,13700000
44.21,9880000
44.3,8078000
44.31,13800000
44.4,8800000
44.5,7400000
44.6,7300000
44.66,6650000
44.8,6200000
44.9,9950000
45,7250000
45.3,12150000
45.4,10300000
45.5,11500000
46,8900000
46.1,6650000
46.3,8100000
46.4,10000000
46.5,8650000
46.8,6500000
46.9,6700000
47,11300000
47.2,7799000
47.5,14900000
47.6,7350000
47.7,8690000
47.8,7200000
48,11700000
48.1,12000000
48.3,11300000
